Timestamp,Vehicle ID,Vehicle Type,Speed,Front,Back,Overtaking
2025-05-16 00:00:00,car_001,car,19.89,114,106,True
2025-05-15 03:11:59,truck_001,truck,76.52,102,87,True
2025-05-14 06:23:59,motorbike_001,motorbike,28.28,155,111,False
2025-05-13 09:35:59,bicycle_001,bicycle,33.4,132,96,False
2025-05-12 12:47:59,car_002,car,76.81,147,97,True
2025-05-11 15:59:59,truck_002,truck,57.6,126,103,False
2025-05-10 19:11:59,car_003,car,57.34,140,112,False
2025-05-09 22:23:59,motorbike_002,motorbike,20.11,106,83,True
2025-05-09 01:35:59,truck_003,truck,52.2,138,83,True
2025-05-08 04:47:59,bicycle_002,bicycle,58.28,126,105,False
2025-05-07 07:59:59,motorbike_003,motorbike,72.16,102,93,False
2025-05-06 11:11:59,car_004,car,63.47,134,127,False
2025-05-05 14:23:59,truck_004,truck,29.66,111,87,False
2025-05-04 17:35:59,bicycle_003,bicycle,62.11,132,118,True
2025-05-03 20:47:59,bus_001,bus,70.81,111,99,True
2025-05-02 23:59:59,bus_002,bus,29.29,128,91,False
2025-05-02 03:11:59,truck_005,truck,52.74,139,86,False
2025-05-01 06:23:59,bicycle_004,bicycle,28.04,131,95,True
2025-04-30 09:35:59,truck_006,truck,59.68,151,99,True
2025-04-29 12:47:59,motorbike_004,motorbike,21.27,104,86,False
2025-04-28 15:59:59,car_005,car,17.64,108,89,False
2025-04-27 19:11:59,motorbike_005,motorbike,23.02,136,80,True
2025-04-26 22:23:59,motorbike_006,motorbike,54.07,151,80,False
2025-04-26 01:35:59,bus_003,bus,66.63,122,101,False
2025-04-25 04:47:59,car_006,car,56.82,159,87,True
2025-04-24 07:59:59,truck_007,truck,48.85,124,80,True
2025-04-23 11:11:59,bicycle_005,bicycle,68.1,127,92,False
2025-04-22 14:23:59,motorbike_007,motorbike,52.69,137,118,False
2025-04-21 17:35:59,truck_008,truck,31.71,103,96,False
2025-04-20 20:47:59,motorbike_008,motorbike,77.77,156,91,False
2025-04-19 23:59:59,motorbike_009,motorbike,57.64,149,87,False
2025-04-19 03:11:59,bicycle_006,bicycle,41.47,114,102,False
2025-04-18 06:23:59,motorbike_010,motorbike,27.46,125,90,False
2025-04-17 09:35:59,car_007,car,43.92,155,86,False
2025-04-16 12:47:59,motorbike_011,motorbike,46.65,142,82,True
2025-04-15 15:59:59,car_008,car,78.46,121,113,True
2025-04-14 19:11:59,car_009,car,58.89,153,98,True
2025-04-13 22:23:59,bicycle_007,bicycle,41.88,160,97,False
2025-04-13 01:35:59,bicycle_008,bicycle,48.64,135,96,True
2025-04-12 04:47:59,car_010,car,69.41,117,96,False
2025-04-11 07:59:59,truck_009,truck,65.66,121,115,False
2025-04-10 11:11:59,car_011,car,49.77,136,129,False
2025-04-09 14:23:59,bicycle_009,bicycle,67.22,160,128,False
2025-04-08 17:35:59,car_012,car,65.45,140,127,False
2025-04-07 20:47:59,truck_010,truck,65.68,131,99,False
2025-04-06 23:59:59,bus_004,bus,51.82,105,90,False
2025-04-06 03:11:59,bicycle_010,bicycle,15.1,124,113,True
2025-04-05 06:23:59,car_013,car,46.32,126,96,False
2025-04-04 09:35:59,car_014,car,79.94,142,124,True
2025-04-03 12:47:59,motorbike_012,motorbike,57.32,116,91,False
2025-04-02 15:59:59,bicycle_011,bicycle,70.55,135,94,True
2025-04-01 19:11:59,truck_011,truck,43.48,138,80,False
2025-03-31 22:23:59,bus_005,bus,27.48,138,109,False
2025-03-31 01:35:59,bicycle_012,bicycle,54.27,126,109,False
2025-03-30 04:47:59,motorbike_013,motorbike,26.85,147,135,True
2025-03-29 07:59:59,motorbike_014,motorbike,36.39,151,86,True
2025-03-28 11:11:59,bicycle_013,bicycle,64.07,145,81,False
2025-03-27 14:23:59,bus_006,bus,23.5,139,115,True
2025-03-26 17:35:59,motorbike_015,motorbike,46.01,136,85,False
2025-03-25 20:47:59,bicycle_014,bicycle,22.42,131,121,True
2025-03-24 23:59:59,car_015,car,67.54,150,97,False
2025-03-24 03:11:59,truck_012,truck,62.64,127,114,True
2025-03-23 06:23:59,car_016,car,23.45,110,82,False
2025-03-22 09:35:59,bus_007,bus,79.36,125,107,True
2025-03-21 12:47:59,motorbike_016,motorbike,45.71,118,108,False
2025-03-20 15:59:59,bicycle_015,bicycle,34.62,160,124,False
2025-03-19 19:11:59,truck_013,truck,28.58,101,94,True
2025-03-18 22:23:59,motorbike_017,motorbike,51.4,117,112,True
2025-03-18 01:35:59,bus_008,bus,68.13,118,83,True
2025-03-17 04:47:59,car_017,car,56.75,104,84,False
2025-03-16 07:59:59,truck_014,truck,27.53,106,94,True
2025-03-15 11:11:59,truck_015,truck,31.51,134,128,True
2025-03-14 14:23:59,motorbike_018,motorbike,45.93,147,94,False
2025-03-13 17:35:59,car_018,car,31.26,138,123,False
2025-03-12 20:47:59,car_019,car,73.91,137,96,True
2025-03-11 23:59:59,bicycle_016,bicycle,23.53,134,116,False
2025-03-11 03:11:59,car_020,car,78.36,140,117,True
2025-03-10 06:23:59,motorbike_019,motorbike,21.4,129,116,True
2025-03-09 09:35:59,truck_016,truck,32.38,139,118,True
2025-03-08 12:47:59,motorbike_020,motorbike,25.14,156,123,True
2025-03-07 15:59:59,bicycle_017,bicycle,58.26,151,97,False
2025-03-06 19:11:59,motorbike_021,motorbike,17.62,114,92,False
2025-03-05 22:23:59,car_021,car,26.41,145,140,False
2025-03-05 01:35:59,truck_017,truck,39.66,133,99,False
2025-03-04 04:47:59,car_022,car,37.72,122,81,False
2025-03-03 07:59:59,bicycle_018,bicycle,71.66,126,95,False
2025-03-02 11:11:59,truck_018,truck,61.94,152,110,True
2025-03-01 14:23:59,car_023,car,72.9,149,110,True
2025-02-28 17:35:59,truck_019,truck,30.01,111,82,True
2025-02-27 20:47:59,bicycle_019,bicycle,28.63,129,103,True
2025-02-26 23:59:59,bicycle_020,bicycle,39.57,157,118,True
2025-02-26 03:11:59,car_024,car,30.52,155,93,False
2025-02-25 06:23:59,bus_009,bus,60.46,137,107,False
2025-02-24 09:35:59,car_025,car,31.83,100,84,True
2025-02-23 12:47:59,motorbike_022,motorbike,50.47,110,102,True
2025-02-22 15:59:59,bicycle_021,bicycle,58.73,132,84,False
2025-02-21 19:11:59,bicycle_022,bicycle,29.45,134,99,False
2025-02-20 22:23:59,motorbike_023,motorbike,36.9,149,143,False
2025-02-20 01:35:59,bicycle_023,bicycle,43.16,109,83,True
2025-02-19 04:47:59,bicycle_024,bicycle,31.82,139,121,True
2025-02-18 07:59:59,bus_010,bus,61.05,145,94,False
2025-02-17 11:11:59,truck_020,truck,70.78,114,102,True
2025-02-16 14:23:59,bus_011,bus,69.34,142,106,False
2025-02-15 17:35:59,bicycle_025,bicycle,17.72,153,126,True
2025-02-14 20:47:59,motorbike_024,motorbike,28.8,131,124,False
2025-02-13 23:59:59,bicycle_026,bicycle,60.24,141,82,False
2025-02-13 03:11:59,motorbike_025,motorbike,60.85,145,105,True
2025-02-12 06:23:59,bus_012,bus,63.95,151,101,True
2025-02-11 09:35:59,car_026,car,42.77,156,109,False
2025-02-10 12:47:59,car_027,car,78.89,112,90,False
2025-02-09 15:59:59,bus_013,bus,25.44,124,89,True
2025-02-08 19:11:59,bus_014,bus,33.77,130,121,True
2025-02-07 22:23:59,bicycle_027,bicycle,47.92,134,126,True
2025-02-07 01:35:59,bus_015,bus,34.07,125,104,False
2025-02-06 04:47:59,bicycle_028,bicycle,51.04,135,105,False
2025-02-05 07:59:59,car_028,car,18.29,158,150,True
2025-02-04 11:11:59,car_029,car,36.28,116,103,False
2025-02-03 14:23:59,truck_021,truck,48.84,142,101,True
2025-02-02 17:35:59,bicycle_029,bicycle,56.33,122,81,False
2025-02-01 20:47:59,truck_022,truck,53.85,131,119,True
